Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,GEO_Accession (exp),lab,create_date,version,AGE,sex,sample_type,donor_id,tissue,dev_stage,health_state,source_name,source,biomaterial_provider,cell_organism,datatype_description,datatype,lab_description,Library Name,strain_description,age_description,cell_sex,labversion,strain,cell_description,cell,replicate,labexpid,antibody,control_description,control,controlid,antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,Description,softwareversion,Donor,note,instrument_model (run),biomaterial_type,cell_type,cell_line,treatment_description,treatment,tissue_type,antibody_description,Line,replicate_description,read_name_barcode_proc_directive (run),collection_date,ENCODE_accession,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,treatments,labversion_description,AssemblyName,model_organism_mating_status,softwareversion_description
SRR14305003,ATAC-seq,100,3823961188,PRJNA63471,SAMN04284046,1626590100,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660653,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS279BWR,SRP013703,GSM5258296,"Len Pennacchio, LBNL",2021-04-28T09:20:00Z,1,16.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305004,ATAC-seq,99,3249101686,PRJNA63471,SAMN04284038,1406216813,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660654,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS236CDJ,SRP013703,GSM5258297,"Len Pennacchio, LBNL",2021-04-28T10:41:00Z,1,16.5 day,pooled male and female,tissue,ENCDO956IXV,liver,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305013,ATAC-seq,100,4381510873,PRJNA63471,SAMN04284068,1994588483,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660660,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS381PEJ,SRP013703,GSM5258303,"Len Pennacchio, LBNL",2021-04-28T01:22:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,midbrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305014,ATAC-seq,100,6058089371,PRJNA63471,SAMN04284027,2766530045,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660661,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS190ETJ,SRP013703,GSM5258304,"Len Pennacchio, LBNL",2021-04-28T02:59:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,midbrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305032,ATAC-seq,48,4703549136,PRJNA63471,SAMN18814565,3060429516,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660673,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS360KWM,SRP013703,GSM5258337,"Ross Hardison, PennState",2021-04-27T22:48:00Z,1,5-6 week,male,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,granulocyte monocyte progenitor cell,,,,,,,,,,,,,,,,,,
SRR14305034,ATAC-seq,48,5860989984,PRJNA63471,SAMN18814559,3792331367,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660674,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS144DIM,SRP013703,GSM5258338,"Ross Hardison, PennState",2021-04-27T15:17:00Z,1,5-6 week,male,primary cell,ENCDO072AAA,,adult,,,David Bodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,granulocyte monocyte progenitor cell,,,,,,,,,,,,,,,,,,
SRR14305067,ATAC-seq,100,4233790790,PRJNA63471,SAMN05202037,1874711063,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660694,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS569AAA,SRP013703,GSM5258358,"Len Pennacchio, LBNL",2021-04-28T04:32:00Z,1,14.5 day,pooled male and female,tissue,ENCDO469XMJ,kidney,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305068,ATAC-seq,100,2835184595,PRJNA63471,SAMN04284174,1264920581,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660695,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS900XQR,SRP013703,GSM5258359,"Len Pennacchio, LBNL",2021-04-28T09:14:00Z,1,15.5 day,pooled male and female,tissue,ENCDO956IXV,embryonic facial prominence,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305083,ATAC-seq,100,4917294749,PRJNA63471,SAMN04284194,2217985316,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660707,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-28T00:00:00Z,ENCODE biosample ENCBS976DPO,SRP013703,GSM5258371,"Len Pennacchio, LBNL",2021-04-28T09:52:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,hindbrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14305084,ATAC-seq,100,8703772312,PRJNA63471,SAMN04284030,3886369819,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10660708,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2021-04-27T00:00:00Z,ENCODE biosample ENCBS199NDR,SRP013703,GSM5258372,"Len Pennacchio, LBNL",2021-04-27T22:39:00Z,1,11.5 day,pooled male and female,tissue,ENCDO956IXV,hindbrain,embryonic,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
