Run	AvgSpotLen	label
SRR5799381	75	Ep.MEChi.Th_1
SRR5799382	75	Ep.MEChi.Th_2
SRR5799383	75	preT.DN1.Th_1
SRR5799384	75	preT.DN1.Th_2
SRR5799385	75	preT.DN2a.Th_1
SRR5799386	75	preT.DN2a.Th_2
SRR5799387	75	preT.DN2b.Th_1
SRR5799388	75	preT.DN2b.Th_2
SRR5799389	75	preT.DN3.Th_1
SRR5799390	75	T.DN4.Th_1
SRR5799391	75	T.DN4.Th_2
SRR5799392	75	T.ISP.Th_1
SRR5799393	75	T.ISP.Th_2
SRR5799394	75	T.4.Th_1
SRR5799395	75	T.4.Th_2
SRR5799396	75	T.8.Th_1
SRR5799397	75	T.8.Th_2
SRR5799398	75	T.4.Nve.Sp_1
SRR5799399	75	T.4.Nve.Sp_2
SRR5799400	75	T.8.Nve.Sp_1
SRR5799401	75	T.4.aCD3plCD40.18h.Sp_2
SRR5799402	75	T.4.aCD3plCD40.18h.Sp_1
SRR5799403	75	Treg.4.FP3pl.Nrplo.Co_1
SRR5799404	75	Treg.4.FP3pl.Nrplo.Co_2
SRR5799405	75	GN.BM_1
SRR5799406	75	GN.BM_2
SRR5799407	75	GN.Sp_1
SRR5799408	75	GN.Sp_2
SRR5799409	75	GN.Thio.PC_1
SRR5799410	75	NK.27mi11bpl.Sp_1
SRR5799411	75	NK.27mi11bpl.Sp_2
SRR5799412	75	NK.27pl11bpl.Sp_1
SRR5799413	75	NK.27pl11bpl.Sp_2
SRR5799414	75	NK.27pl11bmi.Sp_1
SRR5799415	75	NK.27pl11bmi.Sp_2
SRR5799416	75	NK.27mi11bpl.BM_1
SRR5799417	75	NK.27mi11bpl.BM_2
SRR5799418	75	NK.27pl11bpl.BM_1
SRR5799419	75	NK.27pl11bpl.BM_2
SRR5799420	75	NK.27pl11bmi.BM_1
SRR5799421	75	NK.27pl11bmi.BM_2
SRR5799422	75	Tgd.g2pld17.24apl.Th_1
SRR5799423	75	Tgd.g2pld17.24apl.Th_2
SRR5799424	75	Tgd.g2pld1.24apl.Th_1
SRR5799425	75	Tgd.g2pld1.24apl.Th_2
SRR5799426	75	Tgd.g1.1pld1.24apl.Th_1
SRR5799427	75	Tgd.g1.1pld1.24apl.Th_2
SRR5799428	75	Tgd.g2pld17.LN_1
SRR5799429	75	Tgd.g2pld17.LN_2
SRR5799430	75	Tgd.g2pld1.LN_1
SRR5799431	75	Tgd.g2pld1.LN_2
SRR5799432	75	Tgd.g1.1pld1.LN_1
SRR5799433	75	Tgd.g1.1pld1.LN_2
SRR5799434	75	T8.TN.P14.Sp_1
SRR5799435	75	T8.TN.P14.Sp_2
SRR5799436	75	T8.TE.LCMV.d7.Sp_1
SRR5799437	75	T8.TE.LCMV.d7.Sp_2
SRR5799438	75	T8.MP.LCMV.d7.Sp_1
SRR5799439	75	T8.MP.LCMV.d7.Sp_2
SRR5799440	75	T8.Tcm.LCMV.d180.Sp_1
SRR5799441	75	T8.Tcm.LCMV.d180.Sp_2
SRR5799442	75	T8.Tem.LCMV.d180.Sp_1
SRR5799443	75	T8.Tem.LCMV.d180.Sp_2
SRR5799444	75	T8.IEL.LCMV.d7.SI_1
