Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	cell_type	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Experiment	GEO_Accession..exp.	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample.Name	source_name	SRA.Study	strain	create_date	version	label	genotype
SRR5799381	ATAC-seq	75	687431925	PRJNA392905	SAMN07312120	285503781	Thymic epithelial Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978848	GSM2692169	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692169	Thymus	SRP110978	C57BL/6	2017-07-03T11:23:00Z	1	Ep.MEChi.Th_1	
SRR5799382	ATAC-seq	75	761814675	PRJNA392905	SAMN07312121	298095728	Thymic epithelial Cell	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978849	GSM2692170	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692170	Thymus	SRP110978	C57BL/6	2017-07-03T11:24:00Z	1	Ep.MEChi.Th_2	
SRR5799383	ATAC-seq	75	713497425	PRJNA392905	SAMN07312045	290821538	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978850	GSM2692171	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692171	Thymus	SRP110978	C57BL/6	2017-07-03T11:42:00Z	1	preT.DN1.Th_1	
SRR5799384	ATAC-seq	75	757214175	PRJNA392905	SAMN07312119	300957803	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978851	GSM2692172	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692172	Thymus	SRP110978	C57BL/6	2017-07-03T11:43:00Z	1	preT.DN1.Th_2	
SRR5799385	ATAC-seq	75	747503475	PRJNA392905	SAMN07312122	293831679	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978852	GSM2692173	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692173	Thymus	SRP110978	C57BL/6	2017-07-03T11:43:00Z	1	preT.DN2a.Th_1	
SRR5799386	ATAC-seq	75	740035125	PRJNA392905	SAMN07311955	291316538	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978853	GSM2692174	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692174	Thymus	SRP110978	C57BL/6	2017-07-03T11:43:00Z	1	preT.DN2a.Th_2	
SRR5799387	ATAC-seq	75	803806425	PRJNA392905	SAMN07312041	358158714	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978854	GSM2692175	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692175	Thymus	SRP110978	C57BL/6	2017-07-03T11:46:00Z	1	preT.DN2b.Th_1	
SRR5799388	ATAC-seq	75	700836375	PRJNA392905	SAMN07312042	274290856	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978855	GSM2692176	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692176	Thymus	SRP110978	C57BL/6	2017-07-03T11:42:00Z	1	preT.DN2b.Th_2	
SRR5799389	ATAC-seq	75	797108550	PRJNA392905	SAMN07312044	303042537	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978856	GSM2692177	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692177	Thymus	SRP110978	C57BL/6	2017-07-03T11:44:00Z	1	preT.DN3.Th_1	
SRR5799390	ATAC-seq	75	844644300	PRJNA392905	SAMN07312043	340086155	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978857	GSM2692178	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692178	Thymus	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.DN4.Th_1	
SRR5799391	ATAC-seq	75	924109725	PRJNA392905	SAMN07312038	362996264	Double Negative Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978858	GSM2692179	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692179	Thymus	SRP110978	C57BL/6	2017-07-03T11:38:00Z	1	T.DN4.Th_2	
SRR5799392	ATAC-seq	75	664340700	PRJNA392905	SAMN07312039	272078434	Immature Single Positive Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978859	GSM2692180	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692180	Thymus	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.ISP.Th_1	
SRR5799393	ATAC-seq	75	613493475	PRJNA392905	SAMN07312040	243529371	Immature Single Positive Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978860	GSM2692181	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692181	Thymus	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.ISP.Th_2	
SRR5799394	ATAC-seq	75	855026775	PRJNA392905	SAMN07312037	333369618	CD4 SP Thymocytes	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2978861	GSM2692182	NextSeq 500	PAIRED	other	GENOMIC	Mus musculus	ILLUMINA	2017-07-05T00:00:00Z	GSM2692182	Thymus	SRP110978	C57BL/6	2017-07-03T11:37:00Z	1	T.4.Th_1	
