Run	AvgSpotLen	RunType	CellType	Factor	Name
SRR3883424	50	Single	Prog	PU.1	prog_pu1_1
SRR3883419	50	Single	Prog	none	prog_pu1_input_1
SRR499700	36	Single	B	Pax5	matureB_pax5_1
SRR499701	36	Single	B	Pax5	matureB_pax5_2
SRR499702	36	Single	B	Pax5	matureB_pax5_3
SRR499703	36	Single	B	Pax5	matureB_pax5_4
SRR499704	36	Single	B	Pax5	matureB_pax5_5
SRR499705	36	Single	B	Pax5	matureB_pax5_6
SRR499706	36	Single	B	Pax5	matureB_pax5_7
SRR13700681	102	Paired	naive_CD8+_T	Runx1	cd8T_runx1_1
SRR13700682	102	Paired	naive_CD8+_T	Runx1	cd8T_runx1_2
SRR571615	36	Single	Th17	RORg	th17_rorg_1
SRR571616	36	Single	Th17	RORg	th17_rorg_2
SRR1202043	51	Single	BM_Derived_Macrophages	PU.1	bmdm_pu1_1
SRR6278334	50	Single	CD8+_DC	IRF8	cd8DC_irf8_1
SRR6278335	50	Single	CD8+_DC	IRF8	cd8DC_irf8_2
SRR6278321	50	Single	CD8+_DC	none	cd8DC_irf8_input_1
SRR6278322	50	Single	CD8+_DC	none	cd8DC_irf8_input_2
