motif_id	cluster
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)	96
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)	62
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	113
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	113
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)	22
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)	22
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	8
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)	3
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	7
Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)	8
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	124
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)	124
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)	62
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)	122
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)	124
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)	8
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)	62
BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)	8
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)	1
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)	96
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)	75
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)	62
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)	62
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)	44
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	50
Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	17
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)	25
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)	127
Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)	56
Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)	60
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)	48
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	43
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	121
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	122
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)	123
CHR(?)/Hela-CellCycle-Expression	120
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)	1
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)	15
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)	15
CRE(bZIP)/Promoter	124
CREB5(bZIP)/LNCaP-CREB5.V5-ChIP-Seq(GSE137775)	124
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)	53
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)	75
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)	21
CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	40
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)	43
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)	122
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)	40
DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	51
DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	51
DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	51
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)	57
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)	57
DUX(Homeobox)/C2C12-Dux-ChIP-Seq(GSE87279)	54
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)	49
Dlx3(Homeobox)/Kerainocytes-Dlx3-ChIP-Seq(GSE89884)	51
Duxbl(Homeobox)/NIH3T3-Duxbl.HA-ChIP-Seq(GSE119782)	49
E-box(bHLH)/Promoter	1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)	6
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)	8
E2F(E2F)/Hela-CellCycle-Expression	104
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)	104
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)	104
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)	104
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	104
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)	104
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode)	15
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)	114
EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	114
EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	114
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)	34
EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	33
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)	131
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)	33
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)	33
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)	33
ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)	9
ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)	33
ERRg(NR)/Kidney-ESRRG-ChIP-Seq(GSE104905)	15
ETS(ETS)/Promoter	33
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)	33
ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)	8
ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)	33
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)	33
ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)	33
EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)	33
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)	33
Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)	130
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)	130
Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	33
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)	33
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)	33
En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	51
Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)	127
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)	15
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)	15
Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)	33
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)	33
FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)	115
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)	115
FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)	115
FOXK1(Forkhead)/HEK293-FOXK1-ChIP-Seq(GSE51673)	115
FOXK2(Forkhead)/U2OS-FOXK2-ChIP-Seq(E-MTAB-2204)	115
FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)	115
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)	115
FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)	13
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)	33
Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)	62
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)	62
Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)	115
FoxD3(forkhead)/ZebrafishEmbryo-Foxd3.biotin-ChIP-seq(GSE106676)	115
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)	115
Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)	115
Foxa3(Forkhead)/Liver-Foxa3-ChIP-Seq(GSE77670)	115
Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)	115
Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)	117
Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)	115
Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)	115
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)	62
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)	62
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)	33
GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)	54
GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)	68
GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)	66
GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)	66
GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)	66
GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)	67
GFX(?)/Promoter	112
GFY(?)/Promoter	109
GFY-Staf(?,Zf)/Promoter	108
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)	106
GLIS3(Zf)/Thyroid-Glis3.GFP-ChIP-Seq(GSE103297)	106
GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)	22
GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)	22
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)	102
