SRR/Download	Data	Label	Source
SRR5799381	ATAC-seq	Ep.MEChi.Th_1	Immgen
SRR5799382	ATAC-seq	Ep.MEChi.Th_2	Immgen
SRR5799383	ATAC-seq	preT.DN1.Th_1	Immgen
SRR5799384	ATAC-seq	preT.DN1.Th_2	Immgen
SRR5799385	ATAC-seq	preT.DN2a.Th_1	Immgen
SRR5799386	ATAC-seq	preT.DN2a.Th_2	Immgen
SRR5799387	ATAC-seq	preT.DN2b.Th_1	Immgen
SRR5799388	ATAC-seq	preT.DN2b.Th_2	Immgen
SRR5799389	ATAC-seq	preT.DN3.Th_1	Immgen
SRR5799390	ATAC-seq	T.DN4.Th_1	Immgen
SRR5799391	ATAC-seq	T.DN4.Th_2	Immgen
SRR5799392	ATAC-seq	T.ISP.Th_1	Immgen
SRR5799393	ATAC-seq	T.ISP.Th_2	Immgen
SRR5799394	ATAC-seq	T.4.Th_1	Immgen
SRR5799395	ATAC-seq	T.4.Th_2	Immgen
SRR5799396	ATAC-seq	T.8.Th_1	Immgen
SRR5799397	ATAC-seq	T.8.Th_2	Immgen
SRR5799398	ATAC-seq	T.4.Nve.Sp_1	Immgen
SRR5799399	ATAC-seq	T.4.Nve.Sp_2	Immgen
SRR5799400	ATAC-seq	T.8.Nve.Sp_1	Immgen
SRR5799401	ATAC-seq	T.4.aCD3plCD40.18h.Sp_2	Immgen
SRR5799402	ATAC-seq	T.4.aCD3plCD40.18h.Sp_1	Immgen
SRR5799403	ATAC-seq	Treg.4.FP3pl.Nrplo.Co_1	Immgen
SRR5799404	ATAC-seq	Treg.4.FP3pl.Nrplo.Co_2	Immgen
SRR5799405	ATAC-seq	GN.BM_1	Immgen
SRR5799406	ATAC-seq	GN.BM_2	Immgen
SRR5799407	ATAC-seq	GN.Sp_1	Immgen
SRR5799408	ATAC-seq	GN.Sp_2	Immgen
SRR5799409	ATAC-seq	GN.Thio.PC_1	Immgen
SRR5799410	ATAC-seq	NK.27mi11bpl.Sp_1	Immgen
SRR5799411	ATAC-seq	NK.27mi11bpl.Sp_2	Immgen
SRR5799412	ATAC-seq	NK.27pl11bpl.Sp_1	Immgen
SRR5799413	ATAC-seq	NK.27pl11bpl.Sp_2	Immgen
SRR5799414	ATAC-seq	NK.27pl11bmi.Sp_1	Immgen
SRR5799415	ATAC-seq	NK.27pl11bmi.Sp_2	Immgen
SRR5799416	ATAC-seq	NK.27mi11bpl.BM_1	Immgen
SRR5799417	ATAC-seq	NK.27mi11bpl.BM_2	Immgen
SRR5799418	ATAC-seq	NK.27pl11bpl.BM_1	Immgen
SRR5799419	ATAC-seq	NK.27pl11bpl.BM_2	Immgen
SRR5799420	ATAC-seq	NK.27pl11bmi.BM_1	Immgen
SRR5799421	ATAC-seq	NK.27pl11bmi.BM_2	Immgen
SRR5799422	ATAC-seq	Tgd.g2pld17.24apl.Th_1	Immgen
SRR5799423	ATAC-seq	Tgd.g2pld17.24apl.Th_2	Immgen
SRR5799424	ATAC-seq	Tgd.g2pld1.24apl.Th_1	Immgen
SRR5799425	ATAC-seq	Tgd.g2pld1.24apl.Th_2	Immgen
SRR5799426	ATAC-seq	Tgd.g1.1pld1.24apl.Th_1	Immgen
SRR5799427	ATAC-seq	Tgd.g1.1pld1.24apl.Th_2	Immgen
SRR5799428	ATAC-seq	Tgd.g2pld17.LN_1	Immgen
SRR5799429	ATAC-seq	Tgd.g2pld17.LN_2	Immgen
SRR5799430	ATAC-seq	Tgd.g2pld1.LN_1	Immgen
SRR5799431	ATAC-seq	Tgd.g2pld1.LN_2	Immgen
SRR5799432	ATAC-seq	Tgd.g1.1pld1.LN_1	Immgen
SRR5799433	ATAC-seq	Tgd.g1.1pld1.LN_2	Immgen
SRR5799434	ATAC-seq	T8.TN.P14.Sp_1	Immgen
SRR5799435	ATAC-seq	T8.TN.P14.Sp_2	Immgen
SRR5799436	ATAC-seq	T8.TE.LCMV.d7.Sp_1	Immgen
SRR5799437	ATAC-seq	T8.TE.LCMV.d7.Sp_2	Immgen
SRR5799438	ATAC-seq	T8.MP.LCMV.d7.Sp_1	Immgen
SRR5799439	ATAC-seq	T8.MP.LCMV.d7.Sp_2	Immgen
SRR5799440	ATAC-seq	T8.Tcm.LCMV.d180.Sp_1	Immgen
SRR5799441	ATAC-seq	T8.Tcm.LCMV.d180.Sp_2	Immgen
SRR5799442	ATAC-seq	T8.Tem.LCMV.d180.Sp_1	Immgen
SRR5799443	ATAC-seq	T8.Tem.LCMV.d180.Sp_2	Immgen
SRR5799444	ATAC-seq	T8.IEL.LCMV.d7.SI_1	Immgen
SRR5799445	ATAC-seq	T8.IEL.LCMV.d7.SI_2	Immgen
SRR5799446	ATAC-seq	Tgd.Sp_1	Immgen
SRR5799447	ATAC-seq	proB.CLP.BM_2	Immgen
SRR5799448	ATAC-seq	proB.FrA.BM_1	Immgen
SRR5799449	ATAC-seq	proB.FrA.BM_2	Immgen
SRR5799450	ATAC-seq	proB.FrBC.BM_1	Immgen
SRR5799451	ATAC-seq	proB.FrBC.BM_2	Immgen
SRR5799452	ATAC-seq	preB.FrD.BM_1	Immgen
SRR5799453	ATAC-seq	preB.FrD.BM_2	Immgen
SRR5799454	ATAC-seq	B.FrE.BM_1	Immgen
SRR5799455	ATAC-seq	B.FrE.BM_2	Immgen
SRR5799456	ATAC-seq	B.T1.Sp_1	Immgen
SRR5799457	ATAC-seq	B.Fo.Sp_1	Immgen
SRR5799458	ATAC-seq	B.T2.Sp_1	Immgen
SRR5799459	ATAC-seq	B.MZ.Sp_1	Immgen
SRR5799460	ATAC-seq	B.T3.Sp_1	Immgen
SRR5799461	ATAC-seq	B1b.PC_1	Immgen
SRR5799462	ATAC-seq	B.GC.CC.Sp_1	Immgen
SRR5799463	ATAC-seq	B.GC.CC.Sp_2	Immgen
SRR5799464	ATAC-seq	B.GC.CB.Sp_1	Immgen
SRR5799465	ATAC-seq	B.GC.CB.Sp_2	Immgen
SRR5799466	ATAC-seq	B.mem.Sp_1	Immgen
SRR5799467	ATAC-seq	B.mem.Sp_2	Immgen
SRR5799468	ATAC-seq	B.PB.Sp_1	Immgen
SRR5799469	ATAC-seq	B.PC.Sp_1	Immgen
SRR5799470	ATAC-seq	B.PC.BM_1	Immgen
SRR5799471	ATAC-seq	B.PC.BM_2	Immgen
SRR5799472	ATAC-seq	B.Fo.Sp_3	Immgen
SRR5799473	ATAC-seq	B.Sp_1	Immgen
SRR5799474	ATAC-seq	B.Sp_2	Immgen
SRR5799475	ATAC-seq	NKT.Sp_1	Immgen
SRR5799476	ATAC-seq	NKT.Sp_2	Immgen
