repClass	Summit.Overlap	Frac	Sample	Genome.Frac	Frac.Diff
DNA	305	0.672532027959692	B1b.PC	1.32861711697737	-0.656085089017677
LINE	1451	3.19948843465414	B1b.PC	22.5854681445608	-19.3859797099067
LTR	2583	5.69557451875372	B1b.PC	12.9771230103663	-7.28154849161257
SINE	1414	3.11790258208198	B1b.PC	8.13623500868225	-5.01833242660026
Total	5753	12.6854975634495	B1b.PC	45.0274432805867	-32.3419457171372
DNA	232	0.632842334969995	BEC.SLN	1.32861711697737	-0.695774782007375
LINE	944	2.57501363884343	BEC.SLN	22.5854681445608	-20.0104545057174
LTR	1646	4.4899072558647	BEC.SLN	12.9771230103663	-8.48721575450159
SINE	653	1.78123295144572	BEC.SLN	8.13623500868225	-6.35500205723653
Total	3475	9.47899618112384	BEC.SLN	45.0274432805867	-35.5484470994629
DNA	111	0.316050226360297	B.Fem.Sp	1.32861711697737	-1.01256689061707
LINE	659	1.87637026280573	B.Fem.Sp	22.5854681445608	-20.7090978817551
LTR	1066	3.03522109279349	B.Fem.Sp	12.9771230103663	-9.9419019175728
SINE	487	1.3866347769141	B.Fem.Sp	8.13623500868225	-6.74960023176815
Total	2323	6.61427635887361	B.Fem.Sp	45.0274432805867	-38.4131669217131
DNA	289	0.671562020727797	B.Fo.Sp	1.32861711697737	-0.657055096249573
LINE	1534	3.56462332109495	B.Fo.Sp	22.5854681445608	-19.0208448234659
LTR	2391	5.55607194311475	B.Fo.Sp	12.9771230103663	-7.42105106725154
SINE	1446	3.36013384765534	B.Fo.Sp	8.13623500868225	-4.7761011610269
Total	5660	13.1523911325928	B.Fo.Sp	45.0274432805867	-31.8750521479939
DNA	392	0.890059488669906	B.FrE.BM	1.32861711697737	-0.438557628307464
LINE	1998	4.53657872031243	B.FrE.BM	22.5854681445608	-18.0488894242484
LTR	3197	7.2589800644839	B.FrE.BM	12.9771230103663	-5.71814294588239
SINE	2162	4.90895054720494	B.FrE.BM	8.13623500868225	-3.2272844614773
Total	7749	17.5945688206712	B.FrE.BM	45.0274432805867	-27.4328744599155
DNA	640	0.938430182260737	B.GC.CB.Sp	1.32861711697737	-0.390186934716633
LINE	2775	4.06897461839616	B.GC.CB.Sp	22.5854681445608	-18.5164935261646
LTR	4715	6.91359110837402	B.GC.CB.Sp	12.9771230103663	-6.06353190199227
SINE	4643	6.80801771286969	B.GC.CB.Sp	8.13623500868225	-1.32821729581255
Total	12773	18.7290136219006	B.GC.CB.Sp	45.0274432805867	-26.2984296586861
