chr	start	end	repName	id	pid	cpm.c
chr1	4848151	4848399	ORR1D2	chr1:4848151-4848399|ORR1D2	chr1:4848003-4848558|peak_119	4
chr1	6187261	6187561	ORR1E	chr1:6187261-6187561|ORR1E	chr1:6187135-6187642|peak_185	8
chr1	6481286	6481637	ORR1E	chr1:6481286-6481637|ORR1E	chr1:6481185-6481744|peak_235	7
chr1	6519022	6519343	ORR1D2	chr1:6519022-6519343|ORR1D2	chr1:6519019-6519612|peak_241	3
chr1	6975171	6975482	ORR1E	chr1:6975171-6975482|ORR1E	chr1:6975100-6975854|peak_274	2
chr1	9775700	9776033	ORR1E	chr1:9775700-9776033|ORR1E	chr1:9775596-9776181|peak_467	7
chr1	9810507	9810807	ORR1E	chr1:9810507-9810807|ORR1E	chr1:9810510-9811069|peak_477	6
chr1	11229418	11229591	ORR1E	chr1:11229418-11229591|ORR1E	chr1:11229223-11229864|peak_647	3
chr1	11229599	11229789	ORR1D2	chr1:11229599-11229789|ORR1D2	chr1:11229223-11229864|peak_647	3
chr1	12949746	12950049	ORR1D2	chr1:12949746-12950049|ORR1D2	chr1:12949716-12950261|peak_767	6
chr1	13012688	13013034	ORR1D2	chr1:13012688-13013034|ORR1D2	chr1:13012494-13013134|peak_783	5
chr1	13223346	13223629	ORR1D2	chr1:13223346-13223629|ORR1D2	chr1:13223152-13223753|peak_828	5
chr1	13336430	13336586	ORR1D2	chr1:13336430-13336586|ORR1D2	chr1:13335605-13336950|peak_870	5
chr1	13424528	13424880	ORR1D2	chr1:13424528-13424880|ORR1D2	chr1:13424409-13425032|peak_895	5
chr1	13593373	13593522	ORR1D2	chr1:13593373-13593522|ORR1D2	chr1:13593001-13593939|peak_923	3
chr1	13593568	13593757	ORR1D2	chr1:13593568-13593757|ORR1D2	chr1:13593001-13593939|peak_923	3
chr1	13600415	13600748	ORR1E	chr1:13600415-13600748|ORR1E	chr1:13599783-13600901|peak_925	2
chr1	13608401	13608694	ORR1E	chr1:13608401-13608694|ORR1E	chr1:13608400-13608984|peak_928	4
chr1	13809878	13810218	ORR1E	chr1:13809878-13810218|ORR1E	chr1:13809751-13810310|peak_962	2
chr1	14121365	14121568	ORR1E	chr1:14121365-14121568|ORR1E	chr1:14121149-14121735|peak_1007	8
chr1	14680481	14680824	ORR1D2	chr1:14680481-14680824|ORR1D2	chr1:14680313-14680928|peak_1095	1
chr1	14924899	14925058	ORR1E	chr1:14924899-14925058|ORR1E	chr1:14924573-14925379|peak_1126	1
