name	branch_color
chrX_60021048-60021373|ORR1D2	k_1
chr7_68173803-68174134|ORR1D2	k_1
chr11_84752148-84752504|ORR1D2	k_1
chr12_91738309-91738647|ORR1D2	k_1
chr7_49177549-49177874|ORR1D2	k_1
chrX_163743913-163744258|ORR1D2	k_1
chr6_105670072-105670435|ORR1D2	k_1
chr17_4503134-4503480|ORR1D2	k_1
chr19_32848097-32848439|ORR1D2	k_1
chr11_114220632-114220926|ORR1D2	k_1
chr2_50525074-50525405|ORR1D2	k_1
chr1_95572658-95572978|ORR1D2	k_1
chr16_50694064-50694389|ORR1D2	k_1
chr18_24629960-24630262|ORR1D2	k_1
chr8_8878261-8878777|ORR1D2	k_1
chr6_82835801-82836016|ORR1D2	k_1
chr9_55102291-55102489|ORR1D2	k_1
chr3_41528562-41528901|ORR1D2	k_1
chr6_37633884-37634217|ORR1D2	k_1
chr15_27960504-27960812|ORR1D2	k_1
chr2_62557330-62557690|ORR1D2	k_1
chr10_8204141-8204449|ORR1D2	k_1
chr12_16583482-16583619|ORR1D2	k_1
chr2_170025035-170025276|ORR1D2	k_1
chr10_63633997-63634270|ORR1D2	k_1
chr5_85772293-85772527|ORR1D2	k_1
chr9_64583104-64583399|ORR1D2	k_1
chr8_128148606-128148796|ORR1D2	k_1
chr3_83746307-83746558|ORR1D2	k_1
chr1_90235763-90236039|ORR1D2	k_1
chr3_9647059-9647382|ORR1D2	k_1
chr13_43450459-43450648|ORR1D2	k_1
chr6_147080037-147080278|ORR1D2	k_1
chr1_13336430-13336586|ORR1D2	k_1
chr15_93415425-93415614|ORR1D2	k_1
chr10_122717922-122718154|ORR1D2	k_1
chr3_68998657-68998829|ORR1D2	k_1
chr10_125679763-125679954|ORR1D2	k_1
chr16_91097918-91098192|ORR1D2	k_1
chr3_126748343-126748695|ORR1D2	k_1
chr6_53648897-53649148|ORR1D2	k_1
chr1_12949746-12950049|ORR1D2	k_1
chr2_60298332-60298644|ORR1D2	k_1
