name	branch_color
chr18_81425152-81425469|ORR1E	k_1
chr6_146515806-146516119|ORR1E	k_1
chr4_55730779-55731080|ORR1E	k_1
chr11_19319730-19320033|ORR1E	k_1
chr15_3283199-3283547|ORR1E	k_1
chr8_32104545-32104862|ORR1E	k_1
chr14_80027986-80028151|ORR1E	k_1
chr9_116477305-116477663|ORR1E	k_1
chr15_8511879-8512230|ORR1E	k_1
chr7_118988063-118988284|ORR1E	k_1
chr3_66164424-66164721|ORR1E	k_1
chr18_46422832-46423161|ORR1E	k_1
chr2_14770632-14770943|ORR1E	k_1
chr3_153219435-153219783|ORR1E	k_1
chr5_22559316-22559624|ORR1E	k_1
chr13_46810181-46810554|ORR1E	k_1
chr14_75182509-75182805|ORR1E	k_1
chr13_41433413-41433471|ORR1E	k_1
chr15_100404168-100404465|ORR1E	k_1
chr13_32861737-32861978|ORR1E	k_1
chr5_35165938-35166254|ORR1E	k_1
chr10_93171239-93171489|ORR1E	k_1
chr4_98120337-98120685|ORR1E	k_1
chr14_60610265-60610552|ORR1E	k_1
chr7_126053409-126053731|ORR1E	k_1
chr14_120263092-120263431|ORR1E	k_1
chr15_5944227-5944547|ORR1E	k_1
chrX_159925756-159926121|ORR1E	k_1
chr2_117517478-117517688|ORR1E	k_1
chr13_89341573-89341892|ORR1E	k_1
chr17_52268846-52269204|ORR1E	k_1
chr9_96698082-96698332|ORR1E	k_1
chr16_11976816-11977100|ORR1E	k_1
chr6_148318889-148319129|ORR1E	k_1
chr16_11871677-11872043|ORR1E	k_1
chr10_120298478-120298793|ORR1E	k_1
chr19_32179683-32179826|ORR1E	k_1
chr15_55357531-55357719|ORR1E	k_1
chr3_32427656-32427947|ORR1E	k_1
chr8_46508563-46508650|ORR1E	k_1
chr11_34066855-34066911|ORR1E	k_1
chr8_117233380-117233517|ORR1E	k_1
chr18_83819091-83819447|ORR1E	k_1
chr3_27970073-27970401|ORR1E	k_1
chr3_39533858-39534114|ORR1E	k_1
chr12_91671985-91672172|ORR1E	k_1
chr7_82110125-82110281|ORR1E	k_1
chr5_102794732-102795056|ORR1E	k_1
chr6_82875377-82875669|ORR1E	k_1
chr18_58517692-58517976|ORR1E	k_1
