seq	mot	start	end	strand	score	qual	mot.clust
MTD	AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)	35	44	-	3.38308186907692	proto	62
MTD	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	90	101	+	7.28119506354937	mot	113
MTD	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	168	179	+	5.4627430710556	proto	113
MTD	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	87	98	-	4.88920245854534	proto	113
MTD	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	165	176	-	5.00273460558074	proto	113
MTD	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)	305	316	-	3.83803711322715	proto	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	87	98	+	6.65190757968024	proto	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	165	176	+	3.74006989067155	proto	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	305	316	+	3.64372353529725	proto	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	90	101	-	7.82634085958324	mot	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	167	178	-	3.44910428740281	proto	113
MTD	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)	168	179	-	3.57915345075446	proto	113
MTD	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	39	48	+	5.35968754595871	proto	8
MTD	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	173	182	+	3.28187940950445	proto	8
MTD	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	336	345	+	3.31261804904018	proto	8
