#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr2	178665059	178665253	chr2:178665059-178665253	.	.	178665059	178665253	0	1	194	178665058	1
chr14	22183353	22183690	chr14:22183353-22183690	.	.	22183353	22183690	0	1	337	22183351	1
chr15	8627186	8627281	chr15:8627186-8627281	.	.	8627186	8627281	0	1	95	8627178	1
chr1	120293849	120294181	chr1:120293849-120294181	.	.	120293849	120294181	0	1	332	120293848	1
chr15	37787341	37787687	chr15:37787341-37787687	.	.	37787341	37787687	0	1	346	37787338	1
chr15	68066437	68066726	chr15:68066437-68066726	.	.	68066437	68066726	0	1	289	68066431	1
chr2	73146146	73146488	chr2:73146146-73146488	.	.	73146146	73146488	0	1	342	73146139	1
chr1	14924899	14925058	chr1:14924899-14925058	.	.	14924899	14925058	0	1	159	14924898	1
chr8	46508563	46508650	chr8:46508563-46508650	.	.	46508563	46508650	0	1	87	46508559	1
chr1	14925090	14925271	chr1:14925090-14925271	.	.	14925090	14925271	0	1	181	14925089	1
chr4	67392611	67392815	chr4:67392611-67392815	.	.	67392611	67392815	0	1	204	67392605	1
chr12	54256708	54257054	chr12:54256708-54257054	.	.	54256708	54257054	0	1	346	54256703	1
chr14	55197179	55197455	chr14:55197179-55197455	.	.	55197179	55197455	0	1	276	55197174	1
chr11	50478191	50478348	chr11:50478191-50478348	.	.	50478191	50478348	0	1	157	50478186	1
chr9	103149190	103149489	chr9:103149190-103149489	.	.	103149190	103149489	0	1	299	103149189	1
chr15	67235026	67235375	chr15:67235026-67235375	.	.	67235026	67235375	0	1	349	67235020	1
chr15	72971904	72972163	chr15:72971904-72972163	.	.	72971904	72972163	0	1	259	72971897	1
chr10	27548384	27548716	chr10:27548384-27548716	.	.	27548384	27548716	0	1	332	27548382	1
chr2	35996818	35997119	chr2:35996818-35997119	.	.	35996818	35997119	0	1	301	35996815	1
chr13	118480399	118480579	chr13:118480399-118480579	.	.	118480399	118480579	0	1	180	118480398	1
chr7	109209900	109210225	chr7:109209900-109210225	.	.	109209900	109210225	0	1	325	109209899	1
chr2	178664886	178664984	chr2:178664886-178664984	.	.	178664886	178664984	0	1	98	178664885	1
chr4	100503390	100503742	chr4:100503390-100503742	.	.	100503390	100503742	0	1	352	100503389	1
chr6	65842657	65842960	chr6:65842657-65842960	.	.	65842657	65842960	0	1	303	65842651	1
