#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr5	148404624	148404816	chr5:148404624-148404816	.	.	148404624	148404816	0	1	192	148404623	1
chr6	66951725	66952058	chr6:66951725-66952058	.	.	66951725	66952058	0	1	333	66951719	1
chr16	96307081	96307197	chr16:96307081-96307197	.	.	96307081	96307197	0	1	116	96307072	1
chr11	88008830	88008942	chr11:88008830-88008942	.	.	88008830	88008942	0	1	112	88008822	1
chr1	14680481	14680824	chr1:14680481-14680824	.	.	14680481	14680824	0	1	343	14680480	1
chr10	105186597	105186953	chr10:105186597-105186953	.	.	105186597	105186953	0	1	356	105186596	1
chr3	51847347	51847568	chr3:51847347-51847568	.	.	51847347	51847568	0	1	221	51847342	1
chr5	20941308	20941611	chr5:20941308-20941611	.	.	20941308	20941611	0	1	303	20941306	1
chr13	119639464	119639821	chr13:119639464-119639821	.	.	119639464	119639821	0	1	357	119639463	1
chr15	94565840	94566185	chr15:94565840-94566185	.	.	94565840	94566185	0	1	345	94565831	1
chr8	22414098	22414414	chr8:22414098-22414414	.	.	22414098	22414414	0	1	316	22414096	1
chr1	128436064	128436313	chr1:128436064-128436313	.	.	128436064	128436313	0	1	249	128436063	1
chr8	115450721	115451131	chr8:115450721-115451131	.	.	115450721	115451131	0	1	410	115450720	1
chr16	65496065	65496393	chr16:65496065-65496393	.	.	65496065	65496393	0	1	328	65496059	1
chr12	82369932	82370116	chr12:82369932-82370116	.	.	82369932	82370116	0	1	184	82369924	1
chr18	24629960	24630262	chr18:24629960-24630262	.	.	24629960	24630262	0	1	302	24629958	1
chr13	6119743	6120088	chr13:6119743-6120088	.	.	6119743	6120088	0	1	345	6119737	1
chr14	61242734	61243065	chr14:61242734-61243065	.	.	61242734	61243065	0	1	331	61242728	1
chr2	31417048	31417232	chr2:31417048-31417232	.	.	31417048	31417232	0	1	184	31417045	1
chr10	44029667	44029933	chr10:44029667-44029933	.	.	44029667	44029933	0	1	266	44029663	1
chr6	12445513	12445841	chr6:12445513-12445841	.	.	12445513	12445841	0	1	328	12445512	1
chr7	138193891	138194241	chr7:138193891-138194241	.	.	138193891	138194241	0	1	350	138193890	1
chr11	7759122	7759496	chr11:7759122-7759496	.	.	7759122	7759496	0	1	374	7759115	1
chr9	78101011	78101305	chr9:78101011-78101305	.	.	78101011	78101305	0	1	294	78101004	1
chr10	121771258	121771507	chr10:121771258-121771507	.	.	121771258	121771507	0	1	249	121771257	1
